LotArea,TotalBsmtSF,GrLivArea,GarageArea,PoolArea,OverallCond,Utilities,SalePrice
11553,1051,1159,336,0,5,AllPub,158000
8400,1052,1052,288,0,5,AllPub,138500
8960,1008,1028,360,0,6,AllPub,115000
11100,0,930,308,0,7,AllPub,84900
15593,1304,2287,667,0,4,AllPub,225000
3922,1258,1402,648,0,5,AllPub,194201
10680,2136,2136,528,0,3,AllPub,137900
16905,1350,1328,308,0,6,AllPub,170000
10852,959,1671,472,0,5,AllPub,173000
6240,884,1367,560,0,6,AllPub,127500
39104,1385,1363,439,0,7,AllPub,241500
10237,1316,1316,397,0,5,AllPub,169990
14303,1986,1987,691,0,5,AllPub,301500
9819,882,900,280,0,5,AllPub,122000
8029,728,1456,400,0,5,AllPub,176000
16492,1517,1888,578,0,6,AllPub,190000
7861,783,1509,393,0,5,AllPub,183200
9020,1248,1350,520,0,5,AllPub,168500
7207,858,858,0,0,7,AllPub,116500
8012,1604,1617,533,0,5,AllPub,193000
12011,1086,1924,592,0,5,AllPub,280000
7200,0,827,392,0,7,AllPub,107500
8978,948,948,300,0,5,AllPub,108000
10402,1226,1226,740,0,5,AllPub,198900
8314,816,816,264,0,7,AllPub,124500
7750,660,1320,400,0,5,AllPub,162000
10020,683,904,0,0,1,AllPub,61000
10000,1116,1116,440,0,6,AllPub,160000
9758,950,950,280,0,5,AllPub,119500
13688,1572,2668,726,0,5,AllPub,412500
16647,1390,1701,611,0,5,AllPub,171000
21780,1163,1674,396,0,7,AllPub,185000
10800,720,1192,0,0,4,AllPub,135000
3136,1405,1405,478,0,5,AllPub,171750
45600,907,2358,360,0,8,AllPub,240000
8924,880,1724,527,0,5,AllPub,188000
9790,1372,1342,457,0,5,AllPub,161500
4060,1405,1337,511,0,5,AllPub,181000
6000,928,928,288,0,6,AllPub,112500
3230,729,1471,440,0,5,AllPub,172500
1680,483,987,264,0,5,AllPub,100000
13704,1541,1541,843,0,5,AllPub,205000
10011,1070,1236,447,0,6,AllPub,134450
7931,1148,1148,672,0,5,AllPub,132500
13360,876,964,432,0,7,AllPub,163500
13418,1117,2452,691,0,5,AllPub,309000
9084,616,1111,200,0,6,AllPub,95000
11664,1082,1082,240,0,5,AllPub,119200
215245,2136,2036,513,0,5,AllPub,375000
8004,832,1935,552,0,5,AllPub,263435
13869,794,1470,388,0,6,AllPub,177000
8544,0,1040,400,0,4,AllPub,92900
14541,1338,2520,796,0,7,AllPub,310000
7535,912,912,297,0,7,AllPub,120000
8849,1684,1684,564,0,5,AllPub,266000
8814,1604,1604,660,0,5,AllPub,220000
7820,1869,1869,617,0,5,AllPub,318061
10784,384,1472,402,0,5,AllPub,160000
7879,720,720,0,0,5,AllPub,34900
9672,1040,1097,480,0,5,AllPub,152000
8121,953,1664,460,0,5,AllPub,172400
46589,1629,2448,711,0,7,AllPub,402000
8400,1314,1314,294,0,6,AllPub,145000
10140,832,1664,528,0,5,AllPub,162900
10382,1107,2090,484,0,6,AllPub,200000
7015,709,1203,352,0,4,AllPub,110000
7630,360,1812,672,0,9,AllPub,140000
8712,540,1044,504,0,5,AllPub,55993
11275,854,1991,432,0,7,AllPub,220000
9187,1084,1080,484,0,5,AllPub,134000
8967,961,1077,338,0,2,AllPub,67000
9000,936,1128,286,0,5,AllPub,118000
11200,1298,1298,403,0,5,AllPub,180000
14977,1976,1976,908,0,5,AllPub,440000
6629,672,1369,300,0,6,AllPub,103600
8738,975,2291,429,0,5,AllPub,230000
12155,1657,1657,484,0,3,AllPub,163500
14859,1670,1670,690,0,5,AllPub,240000
24090,1032,2403,349,0,7,AllPub,244400
10395,1032,1032,564,0,6,AllPub,148000
