Gene,P-Value,Corrected P-Value
ZNF600,7.961666600999047e-06,4.261580641652948e-05
ZNF675,2.9997052524805996e-06,1.9045249055016443e-05
SFT2D1,5.35259935770285e-09,1.349151718013139e-07
DEPDC5,4.5148081662335166e-09,1.1816454754501821e-07
ZNF680,3.5097738816284836e-09,9.821967216434172e-08
VPS54,1.279945931674542e-07,1.503060504034324e-06
RPL9,6.989250932988783e-07,5.722481971690891e-06
ZNF184,1.226948534480491e-05,6.190899817531243e-05
KIAA0825,4.9415980546802434e-08,7.388027557367148e-07
FIG4,1.4007851758437445e-06,1.0064627655798963e-05
GSTP1,3.2924811242487193e-06,2.059262979372523e-05
COX7C,2.5415500891600545e-07,2.6045063198162005e-06
NDUFA4,1.187177991492472e-06,8.815376362082192e-06
UBA1,1.8488165780389894e-09,6.285976365332564e-08
DDB1,1.0540363375324488e-12,5.228978449013248e-10
BCAP31,4.990648200356257e-06,2.8941516715562268e-05
FLNA,1.4679439914234785e-06,1.0457663656916347e-05
SNU13,2.810036805295415e-06,1.812573386110766e-05
DNAJB1,4.9948525368434964e-08,7.441597431657985e-07
ERGIC3,2.6157932424723677e-07,2.658172015674434e-06
ARHGDIB,3.8144409404814136e-07,3.5826857508101677e-06
TUFM,3.7610690149116056e-07,3.541700364861541e-06
TXN,2.371051724593212e-10,1.513313363871948e-08
SRPRA,7.119891795196612e-08,9.677023543309567e-07
OXA1L,3.6892757055674644e-10,2.054324237273638e-08
CBX3,5.419545196198171e-10,2.725756510198472e-08
TARDBP,3.80190823161515e-06,2.3132640652374678e-05
IGFBP7,2.0740087487341505e-06,1.396405396896022e-05
LASP1,4.30454645638536e-06,2.5616041453102412e-05
IARS,2.108936376055957e-05,9.769495589250728e-05
MAGED1,1.7190327748547876e-12,6.948712483246352e-10
MFGE8,1.6581770836568586e-05,8.004132990283483e-05
PSMD3,2.0702407723048706e-06,1.3947288758602072e-05
PRPF8,2.108151761849113e-08,3.8411299380335926e-07
DAG1,7.431398039503693e-06,4.035138219061856e-05
IMMT,9.86860201733989e-12,1.6679333513657406e-09
TMEM59,1.3893552155914668e-07,1.5978316989425994e-06
SCD,1.56134221190724e-05,7.607361116408757e-05
COPZ1,2.338070296328401e-06,1.5427871350742543e-05
PPM1G,1.2307270163138712e-11,1.9753168611837635e-09
SF3B2,5.270509878730486e-11,5.351465117321237e-09
DYNC1H1,3.199154515140807e-08,5.362579609493043e-07
PSMB7,1.7447918818802947e-05,8.333720436934448e-05
ANAPC5,1.5481553024564907e-10,1.1264377980673427e-08
SPARC,6.628618656427141e-06,3.66673816605402e-05
GLB1,4.96566704311671e-06,2.883652990179929e-05
RPN2,3.5431020627236263e-06,2.196883227408297e-05
DCTN1,2.115105453265345e-08,3.8444977318827446e-07
CD164,9.267718559030448e-07,7.168524475780179e-06
CIRBP,1.1356518107760426e-06,8.495204840856566e-06
COX7B,2.783724514700233e-09,8.211234960388741e-08
NOLC1,5.934263932090777e-07,5.055937279846896e-06
SEC16A,2.274476290579044e-10,1.4775972759154575e-08
WDR6,1.300433856287607e-07,1.5228471145410883e-06
AKR1C3,6.1725450923832885e-09,1.505415204468319e-07
MSN,2.2380573009097707e-07,2.364584451319384e-06
CDC37,7.194469278379978e-10,3.313098637309666e-08
GOLM1,1.380353423904815e-05,6.860281087658084e-05
TMEM123,4.829006963418775e-06,2.8229128012186667e-05
RCC2,7.985819569208175e-08,1.041396295177478e-06
ATP5PF,7.882705464618983e-07,6.325871135356734e-06
SSRP1,7.753161293848676e-13,4.453579071634971e-10
ATIC,2.604908346080056e-12,9.170957964231526e-10
RGS2,2.7878284489866786e-08,4.7615586372833507e-07
MRPL13,4.3160960078885916e-07,3.9684811988286515e-06
HNRNPH2,7.45812325276006e-09,1.7440693874803856e-07
EEF2,6.384594121377906e-07,5.360112326209113e-06
ATP6V0C,5.902027389184061e-07,5.0402759722656375e-06
PRRC2B,1.0717796450644318e-09,4.352952592067423e-08
ANXA6,1.9975703145877162e-09,6.566711570304318e-08
MLLT6,1.5935959384735766e-08,3.0728809315372114e-07
PSMC3,2.75254899910826e-08,4.7458641036757584e-07
RUVBL1,1.4878012268122203e-09,5.498589466547111e-08
RIC8A,1.800832921154005e-07,1.973322339505503e-06
ACTN4,5.20146737727448e-08,7.679147600462198e-07
TMEM248,6.526103624769001e-08,9.027363112893394e-07
COASY,5.307318580180783e-07,4.626523561029798e-06
CD44,2.6865992250984225e-08,4.6616127094951005e-07
GSS,4.4983492591099767e-07,4.1049317570172475e-06
PPP1R7,6.749618276652475e-09,1.6160370101224023e-07
KHDRBS1,2.828446281333966e-09,8.280407160648604e-08
RPL7,7.939017126910816e-08,1.0402172293803406e-06
ACTR10,1.042255655262701e-06,7.910416009413851e-06
SPTAN1,1.0391788951275524e-10,8.527517640166998e-09
EPRS,2.2322761701236004e-09,6.96087489163685e-08
VPS11,1.5366064102369312e-08,3.005469957226858e-07
YPEL5,6.652836782310286e-10,3.1297008897471756e-08
ATP5MC1,6.300795115880043e-06,3.5103051503172426e-05
RAD23A,3.6646143740039767e-06,2.2507372694360945e-05
SELENOT,1.438218635384901e-07,1.64708480446913e-06
ARF3,2.292299980205668e-07,2.4046050590878628e-06
FAM168B,1.3587470634696185e-06,9.827279954080462e-06
GBF1,6.883917356216615e-10,3.210729659220006e-08
EFTUD2,3.8373963581287056e-12,1.0512859438966546e-09
VAMP2,2.988918565424368e-08,5.081161561221426e-07
HSBP1,2.0141516585014975e-09,6.569205532659526e-08
RAP1A,1.0228953633802038e-07,1.2547543552347484e-06
ATG3,9.802640962672012e-10,4.099081358873653e-08
XPNPEP1,2.81440634248522e-07,2.820021784273147e-06
NAT10,1.2371469690439924e-08,2.562091464923365e-07
MTOR,7.118525578287169e-06,3.890415030617233e-05
TMEM30A,1.1482018505091908e-07,1.3801183916803204e-06
TRAF3IP2,1.789725928478446e-09,6.208183334451537e-08
RNF40,1.5738665857221255e-06,1.1125116526276735e-05
NUDC,1.6221751961765355e-09,5.823822398378522e-08
MRFAP1L1,1.9552442449543297e-05,9.154669965436103e-05
SYVN1,9.066910703230854e-08,1.1453271228595087e-06
ADIPOR2,6.865594330955339e-07,5.655177096456345e-06
VPS28,8.979939702663251e-06,4.7209567396371256e-05
PRPF3,6.776142835316093e-07,5.615400372410011e-06
CKAP5,1.2155798421175625e-14,2.6533676793742153e-11
TMEM167B,4.7502090147837807e-07,4.281071939500427e-06
ARHGAP1,1.7554688768375506e-06,1.2141436832576064e-05
RHEB,1.0554172905095458e-05,5.430845972947281e-05
AP2B1,1.2104931558150849e-09,4.668311767691109e-08
UBE2A,2.444318373488616e-06,1.6060981774987813e-05
SLIRP,9.883995964615465e-08,1.2258401358842408e-06
CBX5,4.418806199060656e-09,1.171293136084857e-07
ESYT1,2.251010665502395e-09,6.96851931154328e-08
CARS,1.769561803044652e-06,1.221568470488889e-05
LSM3,2.3330007348692424e-09,7.112393860436567e-08
RPS3A,6.885187662647283e-09,1.633585611959401e-07
CLK1,5.452557595441334e-11,5.409928508786066e-09
RBX1,7.654458163424409e-07,6.174483103888692e-06
EFCAB14,4.0461553363473785e-06,2.43170370819908e-05
TMEM214,1.184152015258159e-10,9.23131078180539e-09
TOMM34,1.57742829995734e-09,5.700679624415368e-08
TMEM167A,1.9582669371902347e-11,2.8191115917369983e-09
CIAO2A,8.121446274071247e-09,1.8504689902967345e-07
